Class,CBO,DIT,LCOM,WMC
org.apache.pdfbox.contentstream.operator.state.Restore-2.0.30,10,1.0,2,3
org.apache.pdfbox.contentstream.operator.state.Save-2.0.30,9,1.0,2,2
org.apache.pdfbox.contentstream.operator.state.SetFlatness-2.0.30,9,1.0,2,4
org.apache.pdfbox.contentstream.operator.state.SetGraphicsStateParameters-2.0.30,13,1.0,2,5
org.apache.pdfbox.contentstream.operator.state.SetLineCapStyle-2.0.30,10,1.0,2,3
org.apache.pdfbox.contentstream.operator.state.SetLineDashPattern-2.0.30,10,1.0,2,8
org.apache.pdfbox.contentstream.operator.state.SetLineJoinStyle-2.0.30,10,1.0,2,3
org.apache.pdfbox.contentstream.operator.state.SetLineMiterLimit-2.0.30,9,1.0,2,3
org.apache.pdfbox.contentstream.operator.state.SetLineWidth-2.0.30,10,1.0,2,3
org.apache.pdfbox.contentstream.operator.state.SetMatrix-2.0.30,12,1.0,2,4
org.apache.pdfbox.contentstream.operator.state.SetRenderingIntent-2.0.30,10,1.0,2,4
org.apache.pdfbox.contentstream.operator.text.BeginText-2.0.30,9,1.0,2,2
org.apache.pdfbox.contentstream.operator.text.EndText-2.0.30,8,1.0,2,2
org.apache.pdfbox.contentstream.operator.text.MoveText-2.0.30,11,1.0,1,6
org.apache.pdfbox.contentstream.operator.text.MoveTextSetLeading-2.0.30,11,1.0,2,4
org.apache.pdfbox.contentstream.operator.text.NextLine-2.0.30,11,1.0,2,2
org.apache.pdfbox.contentstream.operator.text.SetCharSpacing-2.0.30,12,1.0,2,4
org.apache.pdfbox.contentstream.operator.text.SetFontAndSize-2.0.30,15,1.0,2,6
org.apache.pdfbox.contentstream.operator.text.SetTextHorizontalScaling-2.0.30,12,1.0,2,4
org.apache.pdfbox.contentstream.operator.text.SetTextLeading-2.0.30,12,1.0,2,4
org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode-2.0.30,14,1.0,2,5
org.apache.pdfbox.contentstream.operator.text.SetTextRise-2.0.30,11,1.0,2,4
org.apache.pdfbox.contentstream.operator.text.SetWordSpacing-2.0.30,11,1.0,2,4
org.apache.pdfbox.contentstream.operator.text.ShowText-2.0.30,8,1.0,2,5
org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted-2.0.30,8,1.0,2,5
org.apache.pdfbox.contentstream.operator.text.ShowTextLine-2.0.30,7,1.0,2,2
org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace-2.0.30,8,1.0,2,3
org.apache.pdfbox.cos.COSArray-2.0.30,237,1.0,3,67
org.apache.pdfbox.cos.COSBase-2.0.30,325,0.0,3,4
org.apache.pdfbox.cos.COSBoolean-2.0.30,24,1.0,4,11
org.apache.pdfbox.cos.COSDictionary-2.0.30,451,1.0,4,158
org.apache.pdfbox.cos.COSDictionaryTest-2.0.30,3,0.0,1,1
org.apache.pdfbox.cos.COSDocument-2.0.30,75,1.0,9,68
org.apache.pdfbox.cos.COSFloat-2.0.30,55,2.0,2,22
org.apache.pdfbox.cos.COSInputStream-2.0.30,10,0.0,2,11
org.apache.pdfbox.cos.COSInteger-2.0.30,58,2.0,5,16
org.apache.pdfbox.cos.COSName-2.0.30,448,1.0,3,18
org.apache.pdfbox.cos.COSNull-2.0.30,22,1.0,2,4
org.apache.pdfbox.cos.COSNumber-2.0.30,90,1.0,5,12
org.apache.pdfbox.cos.COSObject-2.0.30,57,1.0,5,19
org.apache.pdfbox.cos.COSObjectKey-2.0.30,21,0.0,1,14
org.apache.pdfbox.cos.COSObjectKeyTest-2.0.30,1,0.0,3,3
org.apache.pdfbox.cos.COSOutputStream-2.0.30,8,0.0,1,14
org.apache.pdfbox.cos.COSStream-2.0.30,116,2.0,2,42
org.apache.pdfbox.cos.COSString-2.0.30,71,1.0,4,25
org.apache.pdfbox.cos.PDFDocEncoding-2.0.30,2,0.0,1,13
org.apache.pdfbox.cos.PDFDocEncodingTest-2.0.30,1,0.0,2,4
org.apache.pdfbox.cos.TestCOSBase-2.0.30,8,2.0,3,4
org.apache.pdfbox.cos.TestCOSFloat-2.0.30,12,4.0,14,18
org.apache.pdfbox.cos.TestCOSFloat.AcceptTester-2.0.30,5,1.0,1,1
org.apache.pdfbox.cos.TestCOSFloat.BaseTester-2.0.30,8,0.0,1,4
org.apache.pdfbox.cos.TestCOSFloat.DoubleValueTester-2.0.30,3,1.0,1,1
org.apache.pdfbox.cos.TestCOSFloat.FloatValueTester-2.0.30,3,1.0,1,1
